Client Name,URL,Expected Provider,Detected Provider,Config,Status,Details,Active
Dale Earnhardt Jr. Buick GMC,https://www.daleearnhardtjrbuickgmc.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Dale Earnhardt Jr. Cadillac,https://www.daleearnhardtjrcadillac.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Dale Earnhardt Jr. Chevrolet,https://www.daleearnhardtjrchevy.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Dave Smith CDA,https://www.davesmithcda.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Ford of Cookeville,https://www.fordlincolnofcookeville.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Freehold Ford,https://www.freeholdford.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Gary Yeoman's Ford Daytona Beach,https://www.garyyeomansford.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Gary Yeoman's Palm Bay Ford,https://www.palmbayford.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Gary Yeomans Ford Frankfort,https://www.frankfortford.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Gary Yeomans Ford Knoxville,https://www.garyyeomansfordknoxville.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Gary Yeomans Ford Ocala,https://www.garyyeomansfordocala.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Gary Yeomans Ford Villages,https://www.garyyeomansfordvillages.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Gary Yeomans PreOwned Supercenter,https://www.garyyeomansusedcars.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Gastonia Chrysler Dodge Jeep Ram,https://www.gastoniadodge.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Granbury Nissan,https://www.granburynissan.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Gwinnett Place Honda,https://www.gphonda.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Cadillac Monroe,https://www.hendrickcadillacmonroe.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Chevrolet Buick GMC Southpoint,https://www.hendrickgmsouthpoint.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Chevrolet Columbia,https://www.hendrickchevroletcolumbia.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Chevrolet Hoover,https://www.hendrickchevroletbirmingham.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Chevrolet Monroe,https://www.hendrickchevroletmonroe.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Chevrolet Shawnee Mission,https://www.chevyusa.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Chrysler Dodge Jeep Ram Hoover,https://www.hendrickchryslerdodgejeepram.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Chrysler Jeep Fiat Fayetteville,https://www.hendrickchryslerjeep.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Dodge RAM Cary,https://www.hendrickdodge.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick GMC Columbia,https://www.hendrickgmccolumbia.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Honda Easley,https://www.hendrickhondasc.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Honda of Charleston,https://www.charlestonhonda.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Honda South Blvd,https://www.hendrickhonda.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick KIA of Cary,https://www.hendrickkia.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Toyota Concord,https://www.hendricktoyotaconcord.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Volkswagen Frisco,https://www.hendrickvwfrisco.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Honda of Huntersville,https://www.hondahuntersville.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Honda of Newnan,https://www.hondaofnewnan.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Hyundai of Asheville,https://www.hyundaiofasheville.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Keffer Mazda,https://www.keffermazda.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Kelly Honda,https://www.kelly-honda.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Kelly Infiniti,https://www.kellyinfiniti.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Kelly Nissan of Lynnfield,https://www.kellynissanoflynnfield.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Kelly Nissan of Woburn,https://www.kellynissanofwoburn.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Kelly Volkswagen,https://www.kelly-vw.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Lake Norman Chrysler Dodge Jeep Ram,https://www.lakenormanchrysler.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Lindsay Buick GMC,https://www.lindsaybuickgmctruck.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Mall of Georgia Mazda,https://www.mallofgamazda.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Mall of Georgia MINI,https://www.mallofgamini.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
McSweeney Chevrolet GMC,https://www.mcsweeneychevygmc.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
McSweeney Chrysler Dodge Jeep Ram - Clanton,https://www.mcsweeneycdjr.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
McSweeney Chrysler Dodge Jeep Ram - Pell City,https://www.mcsweeneychryslerdodgejeepram.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Mercedes-Benz of San Antonio,https://www.mbofsa.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Myrtle Beach Chrysler Jeep,https://www.myrtlebeachchryslerjeep.net/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Parks Buick GMC Greenville,https://www.parksbuickgmc.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Parks Buick GMC Kernersville,https://www.parksgmckernersville.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Parks Chevrolet Charlotte,https://www.parkscharlotte.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Parks Chevrolet Huntersville,https://www.parkschevrolethuntersville.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Parks Chevrolet Kernersville,https://www.parkschevy.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Parks Chevrolet Richmond,https://www.parksrichmond.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Parks Chevrolet Spartanburg,https://www.parkschevroletspartanburg.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Parks Ford Hendersonville,https://www.parksfordhendersonville.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Parks Motors,https://www.parksmotors.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Paul Miller Auto Outlet,https://www.paulmillerauto.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Paul Miller Ford,https://www.paulmillerford.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Paul Miller Mazda,https://www.paulmillermazda.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Reggie Jackson Airport Honda,https://www.reggiejacksonairporthonda.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Buick GMC Duluth,https://www.rickhendrickbuickgmcatlanta.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Cadillac Norfolk,https://www.rickhendrickcadillacnorfolk.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick CDJRF of North Charleston,https://www.jeephendrick.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Chevrolet Buick GMC Richmond,https://www.hendrickchevybuickgmcrichmond.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Chevrolet Charleston,https://www.rickhendrickchevy.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Chevrolet Duluth,https://www.hendrickatlanta.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Chevrolet Naples,https://www.rickhendrickchevynaples.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Chevrolet Norfolk,https://www.rickhendrickchevroletnorfolk.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Chevrolet of Buford,https://www.hendrickbuford.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Chrysler Dodge Jeep Ram Duluth,https://www.hendrickcdjratlanta.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick City Chevrolet,https://www.citychevrolet.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick DCJR Charleston,https://www.rickhendrickdodge.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Honda,https://www.rickhendrickhonda.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Toyota Sandy Springs,https://www.rickhendricktoyotasandysprings.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Serra Honda Brighton,https://www.serrahondabrighton.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Stevenson Hendrick Honda Wilmington,https://www.stevensonhendrickhonda.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Stevenson Hendrick Mazda,https://www.stevensonhendrickmazda.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Stevenson-Hendrick Honda Jacksonville,https://www.stevensonhendrickhondajacksonville.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Stokes Hodges Ford,https://www.stokeshodgesford.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Team Chevrolet GMC Salisbury,https://www.teamchevync.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Team Chevrolet of Goldsboro,https://www.teamgoldsboro.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Team Chevrolet of Swansboro,https://www.teamswansboro.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Team Chrysler Dodge Ram of Morganton,https://www.teammorganton.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Team Dodge Ram Fiat Myrtle Beach,https://www.teamdodgeramsc.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Ted Russell Ford,https://www.tedrussellford.net/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Terry Labonte Chevrolet,https://www.terrylabontechevy.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Volkswagen of Murrieta,https://www.vwofmurrieta.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes
Daytona Infiniti,https://www.daytonainfiniti.com/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),Yes
Daytona Nissan,https://www.daytonanissan.com/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),Yes
Fort Mill Hyundai,https://www.fortmillhyundai.com/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),Yes
Gary Yeomans Honda,https://www.garyyeomanshonda.com/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),Yes
Lake Norman Hyundai,https://www.lakenormanhyundai.com/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),Yes
Madison Honda,https://www.madisonhonda.com/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),Yes
Mathews Honda of Paris,https://www.hondaofparis.net/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),Yes
Mathews Nissan of Paris,https://www.parisnissan.com/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),Yes
Toyota Knoxville,https://www.toyotaknoxville.com/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),Yes
Toyota of Murfreesboro,https://www.toyotaofmurfreesboro.com/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),Yes
Jackie Cooper Infiniti,https://jackiecooperinfiniti.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),Yes
Jackie Cooper Mercedes,https://jackiecoopermercedes.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),Yes
Jackie Cooper Nissan,https://jackiecoopernissan.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),Yes
Joe Cooper Chevrolet,https://joecooperchevroletcadillacgmc.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),Yes
Joe Cooper Dodge Jeep Shawnee,https://joecooperdodgejeep.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),Yes
Joe Cooper Dodge of Yukon,https://joecooperdodgeyukon.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),Yes
Joe Cooper Ford Edmond,https://joecooperfordedmond.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),Yes
Joe Cooper Ford of Yukon,https://joecooperfordyukon.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),Yes
Joe Cooper Ford Shawnee,https://joecooperfordshawnee.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),Yes
Joe Cooper Hyundai of Midwest City,https://joecooperhyundai.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),Yes
Barbour Hendrick Honda,https://www.barbourhendrickhonda.com/,Manual Required,,,UNVERIFIABLE,Site blocks automation. Manual check required.,Yes
Hendrick Acura Charlotte,https://www.hendrickacura.com/,Manual Required,,,UNVERIFIABLE,Site blocks automation. Manual check required.,Yes
